,lookback,accuracy,mse,r_square,pcc
0,12,0.5332805071315373,0.00835345189308227,-1.7238431507658811,-0.10731230766636723
1,18,0.5277337559429477,0.0065515775585942475,-1.1362988484397372,-0.1349410544757726
2,24,0.5190174326465927,0.004852484536412951,-0.582268855783018,-0.15360325512305667
3,30,0.4865293185419968,0.004945927569875892,-0.6127381958764944,-0.1725839775886368
4,36,0.5412044374009509,0.003750096591290717,-0.22280885143502882,-0.027946789754567995
5,42,0.5483359746434231,0.003446978181900628,-0.12396983088928493,0.04489952264461479
6,48,0.5332805071315373,0.00346920801164972,-0.1312183995384799,0.0477423517526737
7,54,0.5847860538827259,0.0033201511869132947,-0.08261485021183002,0.10003315985917799
8,60,0.5729001584786054,0.0033771067282614593,-0.1011865692071634,0.0970600771734341
9,66,0.5776545166402536,0.0030936010845317333,-0.008742760855769527,0.19016662258842512
10,72,0.5847860538827259,0.003104729412511893,-0.012371418844850268,0.18764117389294074
11,78,0.6125198098256736,0.003014070182913845,0.017190195294431998,0.22771903716866904
12,84,0.6006339144215531,0.002989903016784552,0.02507047889182834,0.22827956865115084
13,90,0.5871632329635499,0.002971330719936787,0.03112642129866361,0.22159140337303454
14,96,0.5681458003169572,0.002977941504192672,0.028970816687892476,0.19998581510636387
15,102,0.6204437400950872,0.002940405204020154,0.0412104267842498,0.22479239807762258
16,108,0.6275752773375595,0.002987558511482508,0.025834961023364356,0.20188576709328765
17,114,0.6450079239302694,0.0028509038587399126,0.07039448499709544,0.2715946746547748
18,120,0.6735340729001584,0.002767848381424972,0.09747671350735221,0.3139794175874688
19,126,0.6885895404120443,0.002727696681334498,0.11056913741579832,0.3341946855685764
