,lookback,horizon,accuracy,mse,r_square,pcc
0,12,1,0.5432432432432432,0.009000867635196601,-1.8369638115179625,0.026869024419624833
1,12,3,0.577027027027027,0.008907408369302377,-1.8075065896212474,0.11358858552171466
2,12,6,0.577027027027027,0.016778360831775304,-4.2883349056490445,0.16749732126980793
3,12,9,0.6364864864864865,0.010183678603346671,-2.2097714172410723,0.20771221455246602
4,12,12,0.7202702702702702,0.031625618684777417,-8.968009681060053,0.2557546338870858
5,12,15,0.7202702702702702,0.3129039766336615,-97.62352099463689,0.27901481734688993
6,12,18,0.7135135135135136,0.038796779279234826,-11.228272126594277,0.2875392891001938
7,12,21,0.6702702702702703,0.03543041526344844,-10.167235204793831,0.25195300791468
8,12,24,0.6459459459459459,0.053326438603014795,-15.80784371523346,0.23324636177351038
9,18,1,0.5689189189189189,0.00595227318746978,-0.8760839858469487,-0.014668739538773911
10,18,3,0.5445945945945946,0.00894765639075963,-1.8201922756003333,0.05724914881244776
11,18,6,0.518918918918919,0.014274552670308747,-3.4991650796993943,0.039526813452742574
12,18,9,0.6202702702702703,0.018425506129586187,-4.8074950346047,0.19693272702639408
13,18,12,0.5027027027027027,0.005308290183062912,-0.673108389184373,0.014214963654300177
14,18,15,0.572972972972973,0.005532941692728179,-0.7439158078637744,-0.19491573803868478
15,18,18,0.6324324324324324,0.029046259110119155,-8.1550269701952,0.264364616089354
16,18,21,0.3581081081081081,0.008556847359436574,-1.6970140305673271,-0.03815704784390585
17,18,24,0.42567567567567566,0.007843656404441054,-1.4722249311129136,0.060844270781438864
18,24,1,0.522972972972973,0.004944123241588098,-0.5583274062627572,0.009157489331673109
19,24,3,0.48243243243243245,0.005190530542542406,-0.6359919852826348,0.008309766462583513
20,24,6,0.5432432432432432,0.004401517151427148,-0.38730457778826133,0.08244141653726361
21,24,9,0.42027027027027025,0.008197776347285298,-1.5838392224793907,-0.14402807456620895
22,24,12,0.6054054054054054,0.004276203934025473,-0.3478073784868001,0.2165363674436895
23,24,15,0.6810810810810811,0.0034618613034998165,-0.09113650334319834,0.13018703551190547
24,24,18,0.4810810810810811,0.005748445397471397,-0.8118399498891347,0.05405469683354477
25,24,21,0.6297297297297297,0.003322131187770337,-0.04709527334514241,0.10868018278432348
26,24,24,0.581081081081081,0.007847734872232195,-1.4735104144683913,0.17846222881979756
27,30,1,0.5756756756756757,0.004311001222078942,-0.35877505970906687,0.12431838077617686
28,30,3,0.518918918918919,0.004737673176817776,-0.4932568612467765,0.09560774610256623
29,30,6,0.5594594594594594,0.005525300129012486,-0.7415072800858458,0.11047571943615558
30,30,9,0.6148648648648649,0.0036534529853723676,-0.15152386710520482,0.12652557088985328
31,30,12,0.5256756756756756,0.0055239506413396365,-0.7410819380136002,0.02199815485034915
32,30,15,0.6283783783783784,0.007423947997661889,-1.3399379550478172,0.17992481522494586
33,30,18,0.6256756756756757,0.008143991420805742,-1.5668868689717148,0.16557942788976812
34,30,21,0.2851351351351351,0.009260222620640895,-1.9187093429337412,-0.4543410366440557
35,30,24,0.6121621621621621,0.008726033430662996,-1.7503394188449404,0.2715332664869696
36,36,1,0.5635135135135135,0.004086984159008716,-0.28816761086628806,0.11502995726290584
37,36,3,0.518918918918919,0.004499473131924156,-0.4181791093395413,0.09463515634493172
38,36,6,0.5094594594594595,0.005274227265052824,-0.6623721724521718,0.11288670675017382
39,36,9,0.6513513513513514,0.005564200710447851,-0.7537682693873207,0.21908166550558344
40,36,12,0.5783783783783784,0.0067528048458610325,-1.1284018108474756,0.19216313846297556
41,36,15,0.5162162162162162,0.003877729060089098,-0.22221295326314894,0.07900938072577819
42,36,18,0.672972972972973,0.006967813045626673,-1.196169775741165,0.23591429926404087
43,36,21,0.654054054054054,0.004203754086637414,-0.32497206932324785,0.13760004265741185
44,36,24,0.7013513513513514,0.0063893970196933925,-1.0138600918215754,0.2784615851451554
45,42,1,0.5554054054054054,0.0042138952545547025,-0.328168441890196,0.061159218710841935
46,42,3,0.5364864864864864,0.0045987235427320675,-0.4494616295534033,0.08896522351133457
47,42,6,0.5445945945945946,0.006019902482507752,-0.8973999156436441,0.08207534081727919
48,42,9,0.4837837837837838,0.004443275747500973,-0.40046637848156164,-0.22424433095874952
49,42,12,0.5067567567567568,0.004275537215443743,-0.34759723691317657,0.02962318604616459
50,42,15,0.5905405405405405,0.0042850746010531,-0.35060330465318357,-0.05293395022464857
51,42,18,0.5108108108108108,0.005309492424009502,-0.6734873208825642,0.019142199271702853
52,42,21,0.672972972972973,0.005561227342063059,-0.752831099900128,0.1890078748239444
53,42,24,0.5378378378378378,0.006740945304623739,-1.1246638279468226,0.08186683340733436
54,48,1,0.6283783783783784,0.00412845302555557,-0.30123809234276866,0.12162045853818862
55,48,3,0.6432432432432432,0.004255200976652935,-0.341187502224233,0.11918586306399878
56,48,6,0.6918918918918919,0.004308462974079552,-0.3579750348658206,0.14701146093840262
57,48,9,0.7013513513513514,0.004603532194618713,-0.4509772580391791,0.16968971598271199
58,48,12,0.6675675675675675,0.006614581973479897,-1.084835645588477,0.21077570440348584
59,48,15,0.6783783783783783,0.004808847803633894,-0.5156902364234142,0.2816935012949262
60,48,18,0.6635135135135135,0.004939895505122497,-0.5569948752397873,0.22537250621285826
61,48,21,0.6783783783783783,0.005439089516887296,-0.7143347455391102,0.2003139829085134
62,48,24,0.6716216216216216,0.008280340867296317,-1.609862553215939,0.20720851351043293
63,54,1,0.6351351351351351,0.003946090586983607,-0.24375967361946893,0.14460740660836424
64,54,3,0.6067567567567568,0.004221635450394537,-0.33060805731191456,0.13383402503340372
65,54,6,0.6810810810810811,0.004833235916888471,-0.5233770725750633,0.1284354352672749
66,54,9,0.6851351351351351,0.005230772865803202,-0.6486758752596253,0.23076129806780243
67,54,12,0.6527027027027027,0.0030666365185298156,0.033433533437524865,0.25142125331841936
68,54,15,0.6472972972972973,0.0030593523472532656,0.035729415473125914,0.27871328796351325
69,54,18,0.5878378378378378,0.0072032839669914596,-1.2703873411639122,0.2673596644971439
70,54,21,0.5945945945945946,0.007201976864052025,-1.2699753582432205,0.2705461710310082
71,54,24,0.6486486486486487,0.0030954202352449205,0.024361256631406314,0.27968057502366916
72,60,1,0.6283783783783784,0.003816575244283866,-0.20293801562299674,0.12338995169984668
73,60,3,0.5743243243243243,0.003892334944891338,-0.22681655019386304,0.10799095748002252
74,60,6,0.6648648648648648,0.003274705322860399,-0.03214721856503289,0.22781440073589207
75,60,9,0.5283783783783784,0.004073532306315303,-0.2839277507954816,0.05566039895970918
76,60,12,0.5891891891891892,0.0036492581714581518,-0.1502017128693014,0.2285606546073798
77,60,15,0.6175675675675676,0.003695145088525814,-0.1646647100401557,0.2273647531340904
78,60,18,0.5783783783783784,0.003324524305816511,-0.04784955499540677,0.14025080623135605
79,60,21,0.6148648648648649,0.003250204824517307,-0.024424960002790597,0.1663949429132811
80,60,24,0.6094594594594595,0.0037104821534338257,-0.16949876603146818,0.24515015760993608
81,66,1,0.6432432432432432,0.0034366977664600632,-0.08320526306227038,0.13470672654225374
82,66,3,0.6324324324324324,0.0035748175871407684,-0.12673894768088112,0.11138499138018065
83,66,6,0.6959459459459459,0.0028956892303881516,0.08731403582805264,0.30849411484850026
84,66,9,0.6878378378378378,0.002990310234664971,0.05749064814783156,0.2684434736080905
85,66,12,0.6702702702702703,0.0029532030442626918,0.0691863824464588,0.2898619974932176
86,66,15,0.48783783783783785,0.003398068684818403,-0.0710298471878017,0.12506188021516293
87,66,18,0.6824324324324325,0.002855038003438988,0.10012680726550982,0.32899852854156814
88,66,21,0.5094594594594595,0.003532069731394751,-0.113265344392103,0.043768851000572206
89,66,24,0.48783783783783785,0.003517437367927441,-0.10865340170877658,0.10763050831612138
90,72,1,0.6067567567567568,0.003508777183728438,-0.10592381716543997,0.099788238498597
91,72,3,0.6121621621621621,0.0035927350237665062,-0.13238630539822127,0.0895003753358369
92,72,6,0.6945945945945946,0.003013015894481538,0.05033410082073264,0.24895900312563396
93,72,9,0.6486486486486487,0.003044715762012182,0.04034268880810765,0.27432487163724717
94,72,12,0.6135135135135135,0.0031996148872222726,-0.008479628158140962,0.23508798512309925
95,72,15,0.43513513513513513,0.004788262564794815,-0.5092020199530864,-0.09776420616952708
96,72,18,0.6486486486486487,0.003143163354964698,0.009313207000686496,0.27725414032900475
97,72,21,0.3081081081081081,0.005431683782362098,-0.7120005482486691,-0.3192984224510607
98,72,24,0.40540540540540543,0.003755633346309353,-0.18372987190106804,0.0137312619209955
99,78,1,0.6405405405405405,0.0033547957205950344,-0.05739073610491485,0.16429218418254202
100,78,3,0.6391891891891892,0.003523467111555821,-0.11055390343369398,0.12781177341522132
101,78,6,0.7243243243243244,0.0028960454090749387,0.08720177264567919,0.305044200974482
102,78,9,0.5378378378378378,0.004480663136759498,-0.41225042804571865,0.04536475844840464
103,78,12,0.7148648648648649,0.003016929611954116,0.049100544758337694,0.272428330952534
104,78,15,0.5797297297297297,0.0034176886408234684,-0.07721381826991047,0.20657556023426135
105,78,18,0.5378378378378378,0.0034575668472413648,-0.08978294305443968,0.1679290423029618
106,78,21,0.5891891891891892,0.0035593917575935962,-0.121876914156819,0.1964689974944609
107,78,24,0.5689189189189189,0.003495777202760183,-0.10182638155677193,0.1359888161473241
108,84,1,0.5986486486486486,0.0033679050261119876,-0.06152262947931586,0.14901619004150662
