,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.577027027027027,0.016778360831775304,-4.2883349056490445,0.16749732126980793
1,18,24,0.518918918918919,0.014274552670308747,-3.4991650796993943,0.039526813452742574
2,24,24,0.5432432432432432,0.004401517151427129,-0.38730457778825533,0.08244141653726314
3,30,24,0.5594594594594594,0.005525300129012482,-0.7415072800858447,0.11047571943615629
4,36,24,0.5094594594594595,0.005274227265052828,-0.6623721724521734,0.11288670675017354
5,42,24,0.5445945945945946,0.006019902482507757,-0.8973999156436456,0.08207534081727896
6,48,24,0.6918918918918919,0.004308462974079558,-0.3579750348658226,0.14701146093840234
7,54,24,0.6810810810810811,0.004833235916888464,-0.5233770725750613,0.1284354352672754
8,60,24,0.6648648648648648,0.0032747053228603974,-0.03214721856503244,0.2278144007358926
9,66,24,0.6959459459459459,0.0028956892303881516,0.08731403582805264,0.3084941148485006
10,72,24,0.6945945945945946,0.003013015894481539,0.0503341008207322,0.24895900312563385
11,78,24,0.7243243243243244,0.002896045409074939,0.08720177264567897,0.30504420097448187
12,84,24,0.7256756756756757,0.00289271393167186,0.08825181373221458,0.32982489591181974
13,90,24,0.6243243243243243,0.003019315015641797,0.04834869457987834,0.32715703614247826
14,96,24,0.677027027027027,0.003066959371588272,0.03333177408715993,0.36035674564721176
15,102,24,0.6270270270270271,0.0033435927056860966,-0.053859682303804446,0.19333627107530807
16,108,24,0.6162162162162163,0.003335021561999702,-0.051158162245167116,0.17951869084970545
17,114,24,0.6959459459459459,0.003222816784806526,-0.015792583583424946,0.25316593411755434
18,120,24,0.7108108108108108,0.0030280186282243505,0.0456054219391806,0.2635759628471241
19,126,24,0.7040540540540541,0.003021922577067501,0.047526822989176876,0.23714177632320735
