,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.6202702702702703,0.11643792828720655,-31.100318275023326,0.28753239334069325
1,18,24,0.5418918918918919,0.006100175695409345,-0.6817336432953083,0.12315793724303782
2,24,24,0.5513513513513514,0.0048426931217296935,-0.3350631774583841,0.15925034818165107
3,30,24,0.5554054054054054,0.004535719116476028,-0.250434711324089,0.25585200587653023
4,36,24,0.5432432432432432,0.0075434002771203375,-1.0796105988263909,0.1502245451190791
5,42,24,0.5256756756756756,0.008590590235677131,-1.3683063138614977,0.10023481108281034
6,48,24,0.5310810810810811,0.010085360945839537,-1.7803938204859855,0.08731412001585963
7,54,24,0.5256756756756756,0.01188391506462552,-2.27623019010497,0.031176427655457677
8,60,24,0.6378378378378379,0.006320751084777324,-0.7425432120200663,0.41493462813040477
9,66,24,0.6554054054054054,0.005021876625407867,-0.3844615786693333,0.41751510017286764
10,72,24,0.65,0.004835197717265327,-0.3329967986379647,0.41242019391433904
11,78,24,0.6675675675675675,0.003978187960085627,-0.09673112150901586,0.39248884178563903
12,84,24,0.6229729729729729,0.0033834850399468755,0.06722020686271357,0.4395363557208764
13,90,24,0.5283783783783784,0.004034075441450265,-0.11213852325331009,0.24379691798656425
14,96,24,0.5621621621621622,0.0051888499844788116,-0.43049381274005927,0.15669201039513525
15,102,24,0.5878378378378378,0.004835089435576907,-0.3329669468816445,0.25152528772835725
16,108,24,0.5864864864864865,0.004462984458173274,-0.23038277708334554,0.27560696562387654
17,114,24,0.6027027027027027,0.004657547696529747,-0.28402115735799893,0.26367248893646444
18,120,24,0.572972972972973,0.004077690752407143,-0.1241626582063684,0.2529086772452608
19,126,24,0.6081081081081081,0.0034963869523464306,0.036094719015273835,0.28839664821205013
