,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.42162162162162165,0.10092673855960733,-4.9381293330185105,-0.1806380170218414
1,18,24,0.3864864864864865,0.03875746544168437,-1.2803356741463752,-0.142001668776991
2,24,24,0.4540540540540541,0.026226698780808435,-0.5430750221516452,-0.0026573807187047034
3,30,24,0.4135135135135135,0.0269466238110732,-0.5854325579325583,-0.005971150893841099
4,36,24,0.4891891891891892,0.026397457359887532,-0.5531217802433603,0.056222198726688086
5,42,24,0.5378378378378378,0.025357390774474683,-0.49192838405048844,0.042056483505715975
6,48,24,0.5135135135135135,0.02483387272375777,-0.4611266566025063,0.07104573980278923
7,54,24,0.5608108108108109,0.022041480256391865,-0.29683334982957077,0.14358446955259804
8,60,24,0.5851351351351352,0.02050406972391694,-0.2063782067220863,0.17491195530640324
9,66,24,0.5918918918918918,0.02000342094328308,-0.1769220164968761,0.2314981267028826
10,72,24,0.5878378378378378,0.02075897921767857,-0.2213760711510142,0.26321828297055455
11,78,24,0.5702702702702702,0.020998863987029583,-0.23548994033728876,0.2661242711886294
12,84,24,0.4891891891891892,0.02208575255909399,-0.2994381566733042,0.23598564047218795
13,90,24,0.5351351351351351,0.021502048645346432,-0.26509533155590503,0.2723444990447904
14,96,24,0.5081081081081081,0.01739671322816097,-0.023553664693549026,0.23568869424817418
15,102,24,0.49928263988522237,0.016737633388484333,0.024197083031745836,0.2934975424236391
16,108,24,0.5185840707964602,0.01657420507823394,0.06262879542971089,0.32673804571814863
17,114,24,0.5381062355658198,0.01800436841457475,0.12687015354470577,0.3660370168408932
18,120,24,0.42524916943521596,0.020866164459638938,0.13778361791847238,0.5310424751993673
19,126,24,0.4378698224852071,0.031048439811118236,0.10306356590226229,0.6126265718095416
