,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.4918918918918919,0.0242746597433845,-0.8416493901444932,-0.046981673267203
1,18,24,0.43243243243243246,0.028939286434420244,-1.1955413495627454,-0.10251988022065517
2,24,24,0.5094594594594595,0.019355120013337068,-0.468417903507381,-0.23026531539935283
3,30,24,0.527027027027027,0.018828214742437357,-0.428443099284602,-0.12209004743708353
4,36,24,0.5486486486486486,0.0233195239444412,-0.7691859537781613,-0.04185021473799993
5,42,24,0.5621621621621622,0.017796198747304114,-0.3501469811042237,-0.08676719202573706
6,48,24,0.5824324324324325,0.01568039355556966,-0.18962685920697542,-0.08572388050903931
7,54,24,0.518918918918919,0.016454409912791398,-0.2483492786891992,-0.12371473602413469
8,60,24,0.6094594594594595,0.01628081767457669,-0.23517932932547803,-0.22765336806461448
9,66,24,0.6094594594594595,0.01634096636930129,-0.23974263971287635,-0.18456914218510306
10,72,24,0.5,0.015719801037644508,-0.19261659278501453,-0.17348638568139219
11,78,24,0.5783783783783784,0.015422903111238529,-0.17009179157746113,-0.07269379275320752
12,84,24,0.6013513513513513,0.015480273893104815,-0.17444434961753652,-0.07243024979238442
13,90,24,0.6148648648648649,0.015804200463781063,-0.1990197371881115,-0.048234943602402845
14,96,24,0.5662162162162162,0.01554527244319002,-0.17937560473666614,-0.0019926131489480512
15,102,24,0.4581081081081081,0.016470230882161253,-0.24954957063559524,-0.078595395985918
16,108,24,0.4743243243243243,0.01578041398040462,-0.19721512435040323,-0.022147050476389683
17,114,24,0.5418918918918919,0.015143895951460736,-0.1489243119471544,-0.03144213657105285
18,120,24,0.5094594594594595,0.015412884473648308,-0.16933170603957293,-0.11709734934458671
19,126,24,0.5472972972972973,0.015483427052585643,-0.17468357085879305,-0.11836662850375532
