,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.6324324324324324,0.023446365970477702,-0.7883400096165001,0.13813372344971026
1,18,24,0.5513513513513514,0.03184451500524209,-1.428897524776934,0.05159466205136263
2,24,24,0.5837837837837838,0.02502031623165881,-0.9083909475213634,0.08353863389685458
3,30,24,0.5864864864864865,0.01672348106492455,-0.275561011293862,0.12946787680173144
4,36,24,0.5621621621621622,0.015865623553726775,-0.21012908415612497,-0.03448111523615845
5,42,24,0.4864864864864865,0.018871947276920993,-0.43943238014736785,-0.030829671821065475
6,48,24,0.5756756756756757,0.01871566439771406,-0.42751211386577315,0.006364844841853127
7,54,24,0.5783783783783784,0.03087778127764471,-1.3551612107620046,0.02496653341568703
8,60,24,0.5121621621621621,0.03088858044231218,-1.3559849025131947,0.011656963028901278
9,66,24,0.522972972972973,0.023727290158639613,-0.8097671239928412,0.023765110937004168
10,72,24,0.5148648648648648,0.01813369191767556,-0.383122946185841,-0.01506630019295025
11,78,24,0.5418918918918919,0.0161008360283104,-0.22806959909939772,-0.018344679659813668
12,84,24,0.5108108108108108,0.015769718574567475,-0.20281406094237941,0.0037587845780023294
13,90,24,0.5310810810810811,0.014869275639522476,-0.13413398791336184,0.03269444937914359
14,96,24,0.5108108108108108,0.015734262863822714,-0.20010972432261998,-0.04055948221440887
15,102,24,0.5162162162162162,0.014373828868260155,-0.0963444522215895,-0.03464450365891732
16,108,24,0.6162162162162163,0.013579485937768388,-0.03575701424748612,0.10153037758259584
17,114,24,0.5581081081081081,0.013937035209436194,-0.06302860374403729,0.010560094177227823
18,120,24,0.5972972972972973,0.014731188065613665,-0.12360154405562529,0.04637662054583321
19,126,24,0.5554054054054054,0.01435683161574682,-0.09504800966151761,0.032767984305538095
