,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.6283783783783784,0.027289723310079603,-1.1914462168264444,0.0829073731457338
1,18,24,0.5432432432432432,0.03054911075789988,-1.453184755196275,0.03698332712022308
2,24,24,0.5554054054054054,0.024433609099035882,-0.9620917227739447,0.06919251363132206
3,30,24,0.5554054054054054,0.016864527235915326,-0.35427186233371044,0.11444015646998376
4,36,24,0.5540540540540541,0.01587951949413455,-0.27517280131564026,-0.03982619156876101
5,42,24,0.48243243243243245,0.01968140700706616,-0.5804757137836585,-0.05497027959163015
6,48,24,0.5594594594594594,0.019858541927205993,-0.5947001764576687,-0.023161937379138794
7,54,24,0.5702702702702702,0.03352787659170526,-1.6923885405601813,0.004278897628925825
8,60,24,0.5148648648648648,0.03337608598355082,-1.68019930176834,-0.004813646554652089
9,66,24,0.527027027027027,0.024780639256407323,-0.9899592799805594,0.006710320535510387
10,72,24,0.5,0.018318364668829194,-0.4710193465803898,-0.017530930788852116
11,78,24,0.5364864864864864,0.016105768699821735,-0.29334128768061674,-0.020643820680158437
12,84,24,0.5027027027027027,0.015607725506731774,-0.2533469330691127,0.004464797907213196
13,90,24,0.522972972972973,0.014462471896758478,-0.1613796506468752,0.03654407749795065
14,96,24,0.4743243243243243,0.014478010401593517,-0.16262743895344633,0.006366821556779024
15,102,24,0.5081081081081081,0.013679471411080068,-0.09850237510192872,-0.018755562978892148
16,108,24,0.6256756756756757,0.013057479421278747,-0.04855456223997123,0.10566787451745474
17,114,24,0.5459459459459459,0.013208725387862028,-0.060700064688387956,0.008224560472581539
18,120,24,0.5878378378378378,0.01370721458699472,-0.1007302349160466,0.06358462492934747
19,126,24,0.5405405405405406,0.013255963391767248,-0.06449341736449576,0.059804439974255066
