,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5689189189189189,0.08444549869309892,-9.387506397632954,0.23077503011583894
1,18,24,0.5459459459459459,0.01869561630189584,-1.299718006869969,0.16036826641855828
2,24,24,0.5486486486486486,0.015906398073407185,-0.9566207116770387,0.2677674100472125
3,30,24,0.5108108108108108,0.009747641606051927,-0.1990418804048375,0.23382522682887985
4,36,24,0.6040540540540541,0.010601368913498608,-0.3040575177707292,0.27054586825040117
5,42,24,0.5148648648648648,0.008897862462316655,-0.0945119003735091,0.23550044299787296
6,48,24,0.5364864864864864,0.008478235248258466,-0.042894224616843335,0.2403140002826734
7,54,24,0.5351351351351351,0.008186151612203187,-0.006965481402303464,0.24634882815598014
8,60,24,0.5027027027027027,0.007991215841799534,0.017013257471091836,0.2150946478622834
9,66,24,0.4527027027027027,0.008549230192624676,-0.05162719973353669,0.06703610742715264
10,72,24,0.4337837837837838,0.00824983735697591,-0.01479936350973099,0.06705654914584007
11,78,24,0.527027027027027,0.007938234267141006,0.023530436648661168,0.17703890540672007
12,84,24,0.4797297297297297,0.008029151612267785,0.012346838721287057,0.1577606031641119
13,90,24,0.4783783783783784,0.007885720212218424,0.0299901069675782,0.1765304329524966
14,96,24,0.5256756756756756,0.0077831741093614785,0.042604139875952796,0.21077705417987408
15,102,24,0.5594594594594594,0.007841726167170101,0.035401744431619364,0.1882804213954763
16,108,24,0.5662162162162162,0.007786345869376429,0.042213986724429664,0.20603028660068617
17,114,24,0.5513513513513514,0.007642336336380054,0.05992837018442376,0.24663416065229854
18,120,24,0.5324324324324324,0.007735003680863357,0.04852950762136066,0.22048804756501322
19,126,24,0.5364864864864864,0.007964430445095445,0.02030808649019722,0.17459952954946611
