,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.49864864864864866,0.07851606401646347,-9.341508235142097,0.11080085962743702
1,18,24,0.5621621621621622,0.016102937946062712,-1.1209502471274093,0.17816043575505303
2,24,24,0.5932432432432433,0.012199161724813766,-0.6067760530194015,0.22229688152935817
3,30,24,0.5662162162162162,0.008587975996359121,-0.13113953943142165,0.27479294944006594
4,36,24,0.5351351351351351,0.010997094616711073,-0.44844938377843135,0.21353347390760036
5,42,24,0.5513513513513514,0.009084269093152521,-0.19650729839673264,0.23615420464356257
6,48,24,0.5351351351351351,0.009284470064424427,-0.2228761697739039,0.21828750422552676
7,54,24,0.5351351351351351,0.010382011567775228,-0.3674355620141032,0.22843170986748107
8,60,24,0.5364864864864864,0.009524592593177755,-0.25450318953924755,0.24620147101836753
9,66,24,0.5054054054054054,0.009938132571050895,-0.30897136927172664,0.19235257057833544
10,72,24,0.5283783783783784,0.009486618818502913,-0.24950158753030127,0.17814033408076244
11,78,24,0.504054054054054,0.009205115248935641,-0.21242418790044426,0.1474639389963781
12,84,24,0.5027027027027027,0.008692392350053656,-0.14489242675635317,0.1818840663191142
13,90,24,0.5094594594594595,0.00838650386867082,-0.1046032414936735,0.1412079202982327
14,96,24,0.5554054054054054,0.007726579899761615,-0.01768333224285845,0.17898148594845492
15,102,24,0.5783783783783784,0.008156917137791281,-0.07436391279308752,0.16361341380384087
16,108,24,0.5905405405405405,0.007894520476676926,-0.039803122389497014,0.1919343659942992
17,114,24,0.6081081081081081,0.007855994185568389,-0.034728747333140575,0.18551281511281625
18,120,24,0.5837837837837838,0.007914675383348889,-0.04245776556268144,0.15497019886560343
19,126,24,0.5716216216216217,0.0072262706372504745,0.04821340396251139,0.22899252250935614
