,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.522972972972973,0.025467639310665136,-1.7139321895132569,-0.014077268270424225
1,18,24,0.6364864864864865,0.020090167419860902,-1.140887554923009,0.24687284610069257
2,24,24,0.5851351351351352,0.017460345638188882,-0.8606433635042168,0.11508385528646108
3,30,24,0.5891891891891892,0.020897326722694162,-1.226901636844882,0.09022118353166371
4,36,24,0.5108108108108108,0.01703373331932536,-0.8151818705686797,0.03416642107552611
5,42,24,0.577027027027027,0.02367499017359003,-1.5229004202053762,0.06694192258224141
6,48,24,0.5594594594594594,0.012026295699525463,-0.28156954876767415,0.05098236146622702
7,54,24,0.5891891891891892,0.011144175488005451,-0.1875673364753927,0.13637674444279027
8,60,24,0.5864864864864865,0.010893010080956497,-0.16080215911571072,0.10745583413357614
9,66,24,0.5418918918918919,0.00968589514077989,-0.032167225479920125,0.22526968324725571
10,72,24,0.5108108108108108,0.009865139093263522,-0.05126816869993811,0.13044202421546713
11,78,24,0.5054054054054054,0.010223894113139852,-0.08949851995923641,0.11739895493365307
12,84,24,0.518918918918919,0.009504910140651763,-0.012880749349362786,0.21099849336945628
13,90,24,0.5283783783783784,0.009558113523196693,-0.01855031183681355,0.18949121016023207
14,96,24,0.5405405405405406,0.00985583705194851,-0.050276906453561976,0.1743360934400323
15,102,24,0.5594594594594594,0.009931447756823968,-0.05833428167119159,0.11980770950327174
16,108,24,0.47162162162162163,0.010495846289942963,-0.11847881756872414,0.0703770317276644
17,114,24,0.44594594594594594,0.010492239060564925,-0.11809441696509548,0.0038363649167174716
18,120,24,0.518918918918919,0.011963341794221743,-0.2748609320806228,-0.04098132592263545
19,126,24,0.4891891891891892,0.010815719635991945,-0.1525657841626833,-0.09552356394265707
