,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5013513513513513,0.011736339259312637,-1.4411849539616872,0.12607707337781768
1,18,24,0.4702702702702703,0.010449141722089973,-1.1734449720801017,0.06487724194904573
2,24,24,0.43243243243243246,0.009224362681707662,-0.9186881778832676,-0.011773590503696762
3,30,24,0.46756756756756757,0.00969274988551172,-1.016113769397876,-0.017655323813633543
4,36,24,0.4486486486486487,0.008907841967255841,-0.85285115761105,-0.018755330510472297
5,42,24,0.38513513513513514,0.011471672858422467,-1.3861337474997057,-0.17465641877717691
6,48,24,0.504054054054054,0.013037671742993686,-1.7118650364876777,-0.040033034284702465
7,54,24,0.4594594594594595,0.008331665257592368,-0.7330051065233962,-0.2653841145695559
8,60,24,0.6675675675675675,0.004629777233823998,0.036995925757906556,0.31234161042856134
9,66,24,0.6175675675675676,0.005063086237105361,-0.05313332117803715,0.20852951335274159
10,72,24,0.6445945945945946,0.0047726407192405125,0.0072799995765304715,0.22144782956191855
11,78,24,0.6378378378378379,0.004884082503819852,-0.015900142182055266,0.17207463881487559
12,84,24,0.7243243243243244,0.004583904826579948,0.04653748960434356,0.27199753516334546
13,90,24,0.6783783783783783,0.004927422222828057,-0.024914901180932203,0.2154179220517848
14,96,24,0.5932432432432433,0.005223859253646358,-0.08657447010115571,0.12807887343553004
15,102,24,0.5972972972972973,0.005596662471237336,-0.16411837757208736,0.0013307420262393672
16,108,24,0.5891891891891892,0.005585475807271235,-0.16179152631500515,-0.069350504686505
17,114,24,0.6013513513513513,0.005104992033403265,-0.06184982102913472,0.12660320991337654
18,120,24,0.6243243243243243,0.004666529380343588,0.02935139664818187,0.2845751426431884
19,126,24,0.7054054054054054,0.004334404940745078,0.09843402683437874,0.32813354654417526
