,lookback,horizon,accuracy,mse,r_square,pcc
0,12,1,0.5134865134865135,0.009827013939963882,-2.339132222157316,-0.1523410019577046
1,12,3,0.5154845154845155,0.022845754769839025,-6.76278494744397,0.007040522549327973
2,12,6,0.5394605394605395,0.03219340603056088,-9.939033980655429,0.06914537887333937
3,12,9,0.48151848151848153,0.013695327966460285,-3.6535510364797394,0.042202063366669484
4,12,12,0.5844155844155844,3.0112678833700235,-1022.202132442,0.23051121531075794
5,12,15,0.3786213786213786,11.642810802266212,-3955.1238992677427,0.2619130418560067
6,12,18,0.4725274725274725,0.06991718693870612,-22.757240318974077,0.2612971650734967
7,12,21,0.37162837162837165,0.45726915465450724,-154.3760051459858,-0.24430978520956073
8,12,24,0.46553446553446554,24.76572319340616,-8414.173197610751,0.48019281027539307
9,18,1,0.5354645354645354,0.009603076585937538,-2.2630402944219656,-0.18252028334534875
10,18,3,0.48451548451548454,0.046790788758242906,-14.899095228451404,-0.058686404496107174
11,18,6,0.5204795204795205,0.017073811123055834,-4.8015296634689895,0.10929837009601756
12,18,9,0.5294705294705294,0.02432744683906188,-7.266250777642556,0.055727283349311096
13,18,12,0.47652347652347654,0.02539727546490425,-7.6297690608729205,0.02704898307701554
14,18,15,0.5074925074925075,0.022261556552622137,-6.564279572041711,-0.013693963319526273
15,18,18,0.44655344655344653,0.17292607490672396,-57.758747295961804,0.2580256445819322
16,18,21,0.5794205794205795,1.4531161674203172,-492.75599208611277,0.31451785992270537
17,18,24,0.32367632367632365,1.128143904808229,-382.3332980689125,-0.3173767556154191
18,24,1,0.5384615384615384,0.01011191417539376,-2.435938796569035,-0.2866642603151843
19,24,3,0.4785214785214785,0.010968837052800275,-2.7271135938505755,-0.1007437561740043
20,24,6,0.5004995004995005,0.01459858834299273,-3.9604709051909994,-0.048599305262355896
21,24,9,0.6023976023976024,0.014284605385919621,-3.8537822797778043,0.3069016237528496
22,24,12,0.5744255744255744,0.17818009151733713,-59.54401556437261,0.2775742424721607
23,24,15,0.5524475524475524,0.04642763806739004,-14.77569984296262,0.2291908753173449
24,24,18,0.6153846153846154,0.8336927415576707,-282.28140305091716,0.363275850141903
25,24,21,0.5254745254745254,0.12544862788376063,-41.6263316762556,0.33231915790204924
26,24,24,0.5324675324675324,0.7714274296593613,-261.1242020382274,0.37207930656841937
27,30,1,0.4965034965034965,0.010717260560859187,-2.641630132067588,-0.2819745693342804
28,30,3,0.4965034965034965,0.010273843111931509,-2.490960813734796,-0.10671344713648241
