,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5054054054054054,0.08402613891589235,-25.4840152069141,0.06110086815547765
1,18,24,0.6081081081081081,0.14047450674392561,-43.2758529761057,0.14121576038104475
2,24,24,0.5243243243243243,0.019640148088476337,-5.190335380778436,0.11143370021939611
3,30,24,0.5513513513513514,0.02250554922565036,-6.093474907001183,0.14008563026985466
4,36,24,0.5527027027027027,0.036348553743139125,-10.456621266939573,0.1391628119029203
5,42,24,0.5824324324324325,0.02042811266323548,-5.438692214136201,0.14154806675176668
6,48,24,0.6162162162162163,0.017583617441183544,-4.542141977641048,0.12213687076529599
7,54,24,0.6324324324324324,0.0121624564893719,-2.8334580973711008,0.16017820195744298
8,60,24,0.6,0.013419791615879806,-3.2297548098019107,0.1500795222838865
9,66,24,0.6783783783783783,0.01062951875866367,-2.3502948020545453,0.1606520593582504
10,72,24,0.6135135135135135,0.009725943594871576,-2.065498919639751,0.11769543843411034
11,78,24,0.6202702702702703,0.007657188375138919,-1.4134524802142203,0.09945129804944561
12,84,24,0.6743243243243243,0.006338989886942215,-0.9979723777418488,0.12757385692412015
13,90,24,0.7027027027027027,0.0057239887360509625,-0.8041315081908023,0.12595057056133957
14,96,24,0.6959459459459459,0.0041518071323801845,-0.3085990222660884,0.13169111054793992
15,102,24,0.6783783783783783,0.00392026666520379,-0.2356202881146392,0.18030764164271287
16,108,24,0.6797297297297298,0.0032771830738560228,-0.03292817548979099,0.23641065709269538
17,114,24,0.7175675675675676,0.004208802974771174,-0.32656341734706174,0.17419695833801807
18,120,24,0.7175675675675676,0.003241875145354128,-0.02179954661985306,0.228374495609722
19,126,24,0.7081081081081081,0.0029977315271351944,0.05515154718267734,0.3014092319380799
