,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5527027027027027,0.11896783821874254,-31.797779275953644,0.19305868845545326
1,18,24,0.5635135135135135,0.012939651817293327,-2.567282137471159,0.1850971752852848
2,24,24,0.6445945945945946,0.0165100972316926,-3.5516043069889003,0.32991182031433586
3,30,24,0.5567567567567567,0.023703238835622434,-5.534653458412436,-0.04972365372120917
4,36,24,0.49324324324324326,0.04770514028539122,-12.151644047963964,0.1250031701994598
5,42,24,0.5013513513513513,0.02669297080414307,-6.358881003150271,0.010190388593782174
6,48,24,0.49324324324324326,0.017402075546819048,-3.797510329460823,0.12482621594240137
7,54,24,0.5905405405405405,0.013600486075440642,-2.749464956468451,0.37577055895185163
8,60,24,0.5351351351351351,0.012020343929238553,-2.313841731639582,0.2911648975019672
9,66,24,0.5891891891891892,0.01023488942547015,-1.8216167437888071,0.3741342257950925
10,72,24,0.5986486486486486,0.009999004360669654,-1.7565865103605445,0.3656349054534933
11,78,24,0.595945945945946,0.008005203542217213,-1.2069233396842458,0.3592119397378625
12,84,24,0.581081081081081,0.009103127333786603,-1.5096056672516474,0.38348010745229133
13,90,24,0.5891891891891892,0.0073726363793538766,-1.0325333659279656,0.37292634165307864
14,96,24,0.6,0.007492985586046608,-1.065711969290387,0.36648184120928345
15,102,24,0.5783783783783784,0.007591745186316591,-1.092938618269926,0.3698106974799652
16,108,24,0.55,0.00752990587647796,-1.0758903801491697,0.30378276662988235
17,114,24,0.5364864864864864,0.008047262051644261,-1.2185182860959616,0.28728853662694287
18,120,24,0.5297297297297298,0.006891379033517821,-0.8998574054331607,0.2695632569780157
19,126,24,0.5540540540540541,0.0037991336748172968,-0.0473683440174506,0.28367760278327936
