,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.40540540540540543,0.0896149260435466,-4.27258711229615,-0.29240414005451515
1,18,24,0.4810810810810811,0.04089856776452718,-1.4063096498213943,-0.12025598880811267
2,24,24,0.39594594594594595,0.10206022788455536,-5.004819352979495,-0.1657977337571501
3,30,24,0.5027027027027027,0.09502645728767384,-4.590980165276055,-0.07555308719992632
4,36,24,0.47702702702702704,0.04030008486898008,-1.371097287982721,-0.08085166612768742
5,42,24,0.43108108108108106,0.06842308388213846,-3.0257431009340365,-0.2011818255341174
6,48,24,0.41486486486486485,0.0830365044483121,-3.8855388553413936,-0.19486945537129452
7,54,24,0.4391891891891892,0.05877262978914061,-2.457948626006717,-0.21469018700835024
8,60,24,0.4891891891891892,0.02926230735453772,-0.7216782007788658,-0.06657076840157203
9,66,24,0.47297297297297297,0.04623880129518681,-1.7205078278874617,-0.14560157866487866
10,72,24,0.4418918918918919,0.037515880616447166,-1.2072857433213802,-0.15663521961908342
11,78,24,0.422972972972973,0.03562979024076608,-1.096315660027337,-0.1582692069383635
12,84,24,0.4175675675675676,0.02971670387179411,-0.7484130911206162,-0.17609166135360346
13,90,24,0.5013513513513513,0.02928718541802886,-0.7231419274450968,0.03760130618355696
14,96,24,0.5567567567567567,0.02171805087432106,-0.2778040467108496,0.19929115312829165
15,102,24,0.5193687230989957,0.023620920023815703,-0.37709807149745633,0.18506481690482612
16,108,24,0.5398230088495575,0.018282737086200866,-0.033998988454661205,0.29643298268392304
17,114,24,0.46882217090069284,0.020093615121492533,0.02555120614182671,0.36900304551533336
18,120,24,0.3289036544850498,0.023933888247364022,0.011021379913782048,0.25919131299401876
19,126,24,0.4378698224852071,0.030674654937072204,0.11386157295466381,0.49685559941477414
