,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5527027027027027,0.03018675592176323,-6.550675496067708,-0.014126849344082851
1,18,24,0.581081081081081,0.07394677649377315,-17.496459663695955,0.14925381130734905
2,24,24,0.6189189189189189,0.02608065208914861,-5.523607278681666,0.1686854949661859
3,30,24,0.4540540540540541,0.036727818201154325,-8.186804890006448,0.01325487362864584
4,36,24,0.48243243243243245,0.05470611138327812,-12.683752430285699,0.06902890027117717
5,42,24,0.4891891891891892,0.029521815071560802,-6.384352470268895,0.12696000947729028
6,48,24,0.5310810810810811,0.028743252931746777,-6.189609117041543,0.15338993807082868
7,54,24,0.504054054054054,0.017305766145762114,-3.328726966095652,0.11846970100072986
8,60,24,0.46756756756756757,0.012017593833341797,-2.005985522733443,0.03470634543967738
9,66,24,0.5094594594594595,0.01218511396368441,-2.047887678319632,0.09482095517972736
10,72,24,0.522972972972973,0.01342045613437949,-2.356886362434662,0.11156094363045854
11,78,24,0.5432432432432432,0.015737873830337926,-2.9365468286463288,0.16262672406247158
12,84,24,0.4851351351351351,0.020308571199829283,-4.079824785284196,0.17249414541909125
13,90,24,0.5432432432432432,0.01115554600518566,-1.7903597221549776,0.18881022316634807
14,96,24,0.5472972972972973,0.010347084859606306,-1.5881376689714535,0.18219243327247808
15,102,24,0.5472972972972973,0.0108071327277995,-1.7032103907434606,0.19123354970503711
16,108,24,0.5837837837837838,0.008785152930550011,-1.1974484152531213,0.24028849025223945
17,114,24,0.5783783783783784,0.009415474939335958,-1.355112158873248,0.17146038318912302
18,120,24,0.5756756756756757,0.008711661777597768,-1.1790659216452473,0.10643862309819925
19,126,24,0.5527027027027027,0.007324872113459967,-0.8321853637494574,0.12291529458930106
