,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.41621621621621624,0.04803783933959803,-2.6444942363297184,0.04518323658648124
1,18,24,0.48783783783783785,0.21688774198590782,-15.454656089135053,-0.07693344006998727
2,24,24,0.3945945945945946,0.08515227474928215,-5.460260886011787,-0.18332028527706673
3,30,24,0.4797297297297297,0.08332963965786905,-5.321982745760134,-0.21066410054072793
4,36,24,0.4283783783783784,0.08190373013713306,-5.213803046146411,-0.0927925552676393
5,42,24,0.43648648648648647,0.023583589571326648,-0.7892198618062334,-0.2851121810933792
6,48,24,0.5,0.020280465146359623,-0.5386212067841074,-0.21441364874839136
7,54,24,0.577027027027027,0.016816569689355684,-0.27582531084352224,-0.10649578402588758
8,60,24,0.581081081081081,0.019525703225901008,-0.48135956665357127,-0.07228119293572201
9,66,24,0.5716216216216217,0.018160635304409107,-0.3777957461223074,-0.09858716896414406
10,72,24,0.5027027027027027,0.017713118934889856,-0.34384395204085116,-0.08140438759671775
11,78,24,0.49864864864864866,0.021802617490613123,-0.6541025756739614,-0.0700865323571987
12,84,24,0.5135135135135135,0.020308692746065185,-0.5407627544858074,-0.07496818259113236
13,90,24,0.4864864864864865,0.021500470090652087,-0.6311795118389003,-0.10330446749002206
14,96,24,0.5121621621621621,0.019142924067885116,-0.452319200676367,-0.08741084216161088
15,102,24,0.5027027027027027,0.018221123723136293,-0.38238483040350246,-0.06564314427931808
16,108,24,0.5081081081081081,0.01823276575100142,-0.38326807794412754,-0.04352590748533273
17,114,24,0.5054054054054054,0.02052412414853449,-0.5571069222380944,-0.04284462887819475
18,120,24,0.48783783783783785,0.019241225649549047,-0.4597770620773267,-0.12320843179354807
19,126,24,0.5445945945945946,0.016976315527757614,-0.28794477323686074,-0.09192385035232051
