,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5472972972972973,0.6457364234453339,-50.85456173913065,0.025825475591250133
1,18,24,0.5864864864864865,0.11881293724782482,-8.541033409657679,0.07783208227746699
2,24,24,0.6297297297297297,0.24689231464904224,-18.826189615536613,0.055770782326599884
3,30,24,0.65,0.1425173312590729,-10.444566984837833,0.05584763892702367
4,36,24,0.6121621621621621,0.0688424349559819,-4.5282529590794525,0.06367832484685065
5,42,24,0.6256756756756757,0.046500207891533425,-2.734105454557899,0.03781025353590202
6,48,24,0.6108108108108108,0.04508287197704742,-2.6202891511648416,0.028597700500929267
7,54,24,0.5067567567567568,0.03883099045644941,-2.1182444088753054,-0.03408733051831351
8,60,24,0.5432432432432432,0.02229835544566655,-0.7906244826164477,-0.06281771043261722
9,66,24,0.5418918918918919,0.03682675295104089,-1.9572981563632141,-0.012890363325991593
10,72,24,0.5554054054054054,0.028586926278685535,-1.2956154861776477,0.017227271005846253
11,78,24,0.5648648648648649,0.029005391324548206,-1.3292194780983406,0.05469327362627424
12,84,24,0.5797297297297297,0.027405123084192726,-1.2007131630511947,0.06909399544541253
13,90,24,0.4756756756756757,0.027459201478471473,-1.2050558194866463,0.03516473947676681
14,96,24,0.5405405405405406,0.02869042949019628,-1.3039271029249981,0.040360185577986846
15,102,24,0.5445945945945946,0.02705679401938524,-1.172741299701407,0.021104867231548814
16,108,24,0.5216216216216216,0.022337111567306504,-0.7937367148359429,-0.03895478150919918
17,114,24,0.5,0.018228461060184744,-0.46379981852566043,0.0034137305685710594
18,120,24,0.5243243243243243,0.016833178202177314,-0.35175444137616774,-0.04828120770574239
19,126,24,0.4837837837837838,0.017219752937951766,-0.3827975462331783,-0.13749731195270176
