,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5918918918918918,0.06497758818128513,-6.992789709121792,0.243318468305678
1,18,24,0.6148648648648649,0.03411853818010376,-3.196867081237037,0.3239664131820802
2,24,24,0.49594594594594593,0.034704786658686426,-3.2689805735619712,-0.20590753357040426
3,30,24,0.5337837837837838,0.012857121919985082,-0.5815341050251415,0.0896847456199391
4,36,24,0.5581081081081081,0.01033614358363435,-0.2714325720552455,0.07158463414849396
5,42,24,0.5472972972972973,0.010089558070933704,-0.24110048058343692,0.19331275171814052
6,48,24,0.49864864864864866,0.012757598715256085,-0.5692919140044863,-0.16515298301583278
7,54,24,0.6310810810810811,0.01177303749565281,-0.4481826053288529,0.2965318382519129
8,60,24,0.5540540540540541,0.014385650208931698,-0.7695559371668406,0.22250671775682934
9,66,24,0.5081081081081081,0.011403984837162076,-0.40278602516218,0.14336858807900285
10,72,24,0.46756756756756757,0.011208525893002797,-0.3787429315177462,0.03438361062474433
11,78,24,0.527027027027027,0.009037601244491955,-0.11170094557198329,0.16424451310905172
12,84,24,0.48243243243243245,0.008752308332993617,-0.07660751857762649,0.07063446652215472
13,90,24,0.5418918918918919,0.008563946058817558,-0.053437375013344335,0.05601915950721323
14,96,24,0.5391891891891892,0.008829883761877206,-0.08614994862183734,0.024105653655583054
15,102,24,0.5391891891891892,0.009081683486695991,-0.1171234320277812,-0.007165866652392079
16,108,24,0.5405405405405406,0.009273235634324185,-0.14068595684866647,-0.04962027899114276
17,114,24,0.5310810810810811,0.00901333041453817,-0.10871542940685197,-0.011430602251309603
18,120,24,0.6364864864864865,0.007833267595310691,0.036442219894068595,0.20605478081807022
19,126,24,0.518918918918919,0.00834942304284957,-0.027049240236551197,0.15267335781584424
