,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.6094594594594595,0.08633818428327977,-10.371775380711071,0.1607459159998382
1,18,24,0.46216216216216216,0.0752198863018734,-8.907362058726816,-0.19164806832321335
2,24,24,0.49594594594594593,0.041103636889169085,-4.4138424373196035,-0.052740905087217925
3,30,24,0.5648648648648649,0.04544291114987509,-4.985376951482486,-0.014778026409443158
4,36,24,0.5364864864864864,0.028946401807237548,-2.8125886265071918,0.01852225279174305
5,42,24,0.5459459459459459,0.029045611420168326,-2.8256557235653648,-0.02130197451742958
6,48,24,0.43648648648648647,0.018340045043413935,-1.4156041088556472,-0.18818895391311294
7,54,24,0.5527027027027027,0.017387017261062114,-1.2900789085928834,0.014551759487478659
8,60,24,0.49324324324324326,0.016474312708155563,-1.1698647617380993,-0.03258134013165598
9,66,24,0.5432432432432432,0.014332155743820497,-0.8877169724272016,0.09523239915186471
10,72,24,0.5391891891891892,0.013523362407904322,-0.781189180329124,0.09882283895400246
11,78,24,0.5581081081081081,0.013730337395240384,-0.8084502709456318,0.11994550749125675
12,84,24,0.5216216216216216,0.011706324649332411,-0.5418634935512514,0.06416546391305492
13,90,24,0.527027027027027,0.00975225938068719,-0.28448963864861043,0.007641823151895254
14,96,24,0.5135135135135135,0.009081832980337278,-0.1961864330928469,0.005848030752288211
15,102,24,0.4905405405405405,0.009268122330735332,-0.22072297698858767,-0.007788212892969703
16,108,24,0.5175675675675676,0.008729653295973052,-0.14980014066052738,-0.004112868421113988
17,114,24,0.4783783783783784,0.00850496295594148,-0.12020572541696461,-0.03424110917729539
18,120,24,0.5067567567567568,0.008045487735862328,-0.05968732282235756,0.0956184494845626
19,126,24,0.527027027027027,0.008592537724229311,-0.13174037375656233,0.04044612181826024
