,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.4,0.07640142864400737,-11.190369727778096,-0.0844034576340104
1,18,24,0.40675675675675677,0.03584995429568925,-4.720105047049758,-0.1219643162824062
2,24,24,0.42162162162162165,0.011875107749158438,-0.8947545430591719,-0.011713204719137473
3,30,24,0.4337837837837838,0.009419220809988128,-0.5029010093038762,-0.019642989532227872
4,36,24,0.4445945945945946,0.012028063302996193,-0.9191596462920881,0.09952424818219671
5,42,24,0.5175675675675676,0.011366565802737687,-0.8136132023934288,0.13684044672188111
6,48,24,0.5135135135135135,0.026130084428626778,-3.16923342739092,0.060752320503275975
7,54,24,0.4756756756756757,0.029335613322570325,-3.6806974547499482,0.05928568227672776
8,60,24,0.4648648648648649,0.016923280829735512,-1.700225034832207,0.12995532220978953
9,66,24,0.5256756756756756,0.013958587707748568,-1.2271879996895882,0.1727926332449026
10,72,24,0.4972972972972973,0.014355491065711547,-1.2905166411252074,0.163218079162207
11,78,24,0.4851351351351351,0.015015135114629938,-1.395767354204307,0.15720716304130916
12,84,24,0.504054054054054,0.014670643686640073,-1.340801394145966,0.1531924574924086
13,90,24,0.5148648648648648,0.016144376263214473,-1.5759454916735471,0.13855475214028357
14,96,24,0.5202702702702703,0.015519813205887781,-1.4762921903904034,0.1321554598907933
15,102,24,0.5067567567567568,0.01072834744402655,-0.711781104514789,0.13543682350507447
16,108,24,0.5,0.00920816933659784,-0.4692263053371759,0.10558815589462789
17,114,24,0.518918918918919,0.009827307850375677,-0.5680140836498901,0.11259700665535334
18,120,24,0.5555555555555556,0.008191167504302644,-0.308368293287409,0.12779666320988636
19,126,24,0.5354058721934369,0.007822687531114475,-0.16915738915264833,0.09745023056888567
