,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5648648648648649,0.06714911754347212,-12.967167427343902,0.31539260698554605
1,18,24,0.3864864864864865,0.017629597257708133,-2.666995868049052,-0.0894479167584663
2,24,24,0.5202702702702703,0.019830819906682753,-3.1248551282721797,0.07480857778462938
3,30,24,0.5851351351351352,0.012021432451829912,-1.500484979009773,0.3633177765550429
4,36,24,0.577027027027027,0.010989612439548204,-1.2858640965075923,0.33628518105043725
5,42,24,0.5878378378378378,0.009380772083851364,-0.9512216852005835,0.2761090304746209
6,48,24,0.5027027027027027,0.014781156567973982,-2.074513800140723,0.08608649802991353
7,54,24,0.504054054054054,0.009410069711472928,-0.9573156576187531,0.023277632016600894
8,60,24,0.6256756756756757,0.007554276165551784,-0.5713064274947057,0.2539986264164015
9,66,24,0.5986486486486486,0.016163298809797045,-2.362002494053185,0.1914508863726354
10,72,24,0.6,0.011613021262259503,-1.4155345333060358,0.16611492946156786
11,78,24,0.6162162162162163,0.009317053060389791,-0.9379679850545097,0.14495094809122916
12,84,24,0.6648648648648648,0.010620642929118133,-1.2091176087458493,0.21628065653439374
13,90,24,0.6675675675675675,0.010839919754579604,-1.254727681464587,0.1972362410233543
14,96,24,0.6581081081081082,0.007763365160918279,-0.6147974086473373,0.24494853938967148
15,102,24,0.6554054054054054,0.011476081990336277,-1.3870508568512854,0.22965022257911238
16,108,24,0.6121621621621621,0.010296109687466434,-1.1416139648006642,0.15762298859623186
17,114,24,0.6702702702702703,0.009086211155342349,-0.8899523497789261,0.2489725933108099
18,120,24,0.6891891891891891,0.007966602900206921,-0.6570713153797914,0.33785535914366616
19,126,24,0.6905405405405406,0.005646121976404666,-0.1744060658518094,0.3610438221493031
