,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5324324324324324,0.23424914905105967,-53.669419799395605,0.12286022930776683
1,18,24,0.4918918918918919,0.04546966565567258,-9.61177916734413,0.11463193756488013
2,24,24,0.44054054054054054,0.009667682195855216,-1.2562582557648811,0.09715503953130511
3,30,24,0.5797297297297297,0.02783816909355088,-5.496913900379476,0.14174653382970234
4,36,24,0.5851351351351352,0.09727793297550727,-21.702870753636226,0.14621989154119042
5,42,24,0.6013513513513513,0.029295268789062346,-5.8369740255333324,0.20496965448451226
6,48,24,0.6310810810810811,0.028468559828870987,-5.644035441210997,0.21056771123315654
7,54,24,0.6837837837837838,0.025822961594984702,-5.026601734173953,0.2633894407263535
8,60,24,0.727027027027027,0.040025798421390486,-8.341281219459285,0.23555222449320534
9,66,24,0.7202702702702702,0.03408055937293049,-6.95377236120011,0.24800592953809503
10,72,24,0.7148648648648649,0.02315469089617345,-4.403876693068498,0.23772372201145253
11,78,24,0.7243243243243244,0.017782989710688372,-3.1502209665233245,0.24505553570914235
12,84,24,0.7189189189189189,0.012535081528556154,-1.9254562378577225,0.2880936560480977
13,90,24,0.6959459459459459,0.012275832590346545,-1.8649523295492259,0.26786193965247435
14,96,24,0.6986486486486486,0.011038138450810465,-1.576097404049365,0.2721062683006229
15,102,24,0.6864864864864865,0.012613427604535635,-1.9437407632645747,0.2542282419969561
16,108,24,0.6878378378378378,0.008724047416863584,-1.0360313474538554,0.2763864888795048
17,114,24,0.6675675675675675,0.012024856562202589,-1.8063791654725607,0.224931038268816
18,120,24,0.6864864864864865,0.007031267961381237,-0.6409679243658812,0.23628671207053287
19,126,24,0.6986486486486486,0.004313171976966792,-0.006614582938737845,0.28915090219003425
