,lookback,horizon,accuracy,mse,r_square,pcc
0,12,1,0.5184815184815185,0.004144085142862564,-1.9336214471110793,0.05478130121317971
1,12,3,0.5004995004995005,0.004123433780005491,-3.8306421529376706,-0.09632828987420675
2,12,6,0.5804195804195804,0.0030004554683670612,-5.891988409918566,0.1675938509989306
3,12,9,0.4965034965034965,0.003319947185327467,-12.40077129544263,-0.0753200330714215
4,12,12,0.5984015984015985,0.0031393332616700253,-8.731232871480092,0.07294710310448493
5,12,15,0.2757242757242757,0.004401130586952275,-14.221675697779999,-0.4998044301653727
6,12,18,0.6053946053946054,0.0028774985972798836,-15.856574300975922,0.16696218771545673
7,12,21,0.4095904095904096,0.003352875559160503,-101.18125480339424,-0.4147145777483149
8,12,24,0.5854145854145855,0.003127422535768094,-21.129353256500334,-0.021120858612897864
9,18,1,0.5024975024975025,0.004015563161100801,-3.086081678847515,-0.025964329196838387
10,18,3,0.4835164835164835,0.0034647868614631145,-6.375263622165715,0.005946849727478421
11,18,6,0.5494505494505495,0.003397777694175827,-3.513480320251672,0.11162921663148787
12,18,9,0.5064935064935064,0.003367379472222166,-17.455674469125103,-0.16507707423937912
13,18,12,0.5664335664335665,0.0031676329821467885,-3.197615936941636,0.2806584952436018
14,18,15,0.45754245754245754,0.003935633921186646,-2.311620765045238,0.05443133797156697
15,18,18,0.6193806193806194,0.002861968135683345,-14.884133596012411,0.19078474708375914
16,18,21,0.5734265734265734,0.0029879460453579873,-11.027222859232161,0.13101049600046172
17,18,24,0.5634365634365635,0.0029363962452276507,-59.41042596081398,0.16156219950073003
18,24,1,0.5434565434565435,0.0041195259911610506,-1.7266278222461988,0.08575030881540502
19,24,3,0.5254745254745254,0.004254140383533249,-3.3318989195678244,-0.05586340114401503
20,24,6,0.5774225774225774,0.0033317741772914767,-3.533215261002624,0.14981002277376196
21,24,9,0.5324675324675324,0.0033303049471280384,-25.48328488555426,-0.21047001756705885
22,24,12,0.5684315684315684,0.0030835157572791905,-2.589222535236961,0.2899485671337326
23,24,15,0.6033966033966034,0.0026648861700494086,-2.684165318664965,0.3740533050271382
24,24,18,0.5334665334665335,0.0033662808172644906,-12.273049610554972,0.03628952934601268
25,24,21,0.6623376623376623,0.002709567493685992,-5.5569873569238135,0.293353267436304
26,24,24,0.6773226773226774,0.0029843262141603676,-182.15420569847637,0.14718962061138635
27,30,1,0.5584415584415584,0.005054939468692822,-1.2587286875631531,0.03739256388491398
28,30,3,0.5104895104895105,0.0032663625880252566,-5.881859748196693,0.07173789589164152
29,30,6,0.6003996003996004,0.0029119890078182155,-8.18565095568478,0.21965742470341276
30,30,9,0.5944055944055944,0.0033221124823190826,-4.536544162007594,0.09534631926401499
31,30,12,0.5344655344655345,0.0027747415004444947,-12.677592991538795,0.2863066791176825
32,30,15,0.5334665334665335,0.0034863123950259747,-25.40360306722304,-0.32803783952494303
33,30,18,0.6003996003996004,0.0024282346167844647,-10.334590081114783,0.472194105991687
34,30,21,0.7092907092907093,0.0024889266745516687,-4.378431738217473,0.41745837153636034
35,30,24,0.7232767232767233,0.002736606081136059,-53.404715981345454,0.4376768992270947
36,36,1,0.5164835164835165,0.005228493031644554,-1.1729335395343177,0.030124560954110664
37,36,3,0.5104895104895105,0.0034111062972314535,-6.2467465898878425,0.008592384206091253
38,36,6,0.6453546453546454,0.0031307083880180143,-1.26632559729279,0.3660871710870588
39,36,9,0.5464535464535465,0.003385056042773624,-8.862466689468238,-0.048528940970387936
40,36,12,0.6843156843156843,0.002810726013346935,-38.990957302338586,0.23167289654393564
41,36,15,0.6273726273726273,0.002969276564061236,-37.88547186751017,0.07481547078186734
42,36,18,0.6843156843156843,0.002600396596784802,-1.5830692736103043,0.40539998237824704
43,36,21,0.5374625374625375,0.0030228913450326975,-2.4289974709077033,0.26702293265391763
44,36,24,0.6133866133866134,0.0028525579705153,-72.18376654443612,0.2795623861953964
45,42,1,0.5764235764235764,0.005152091059346057,-1.0243138403480145,0.07179592785765244
46,42,3,0.45454545454545453,0.004933722523273005,-2.5144700294249045,-0.10607814354612802
47,42,6,0.5604395604395604,0.00336132885570868,-1.5332442619988589,0.23591784712815517
48,42,9,0.43756243756243757,0.004430470757982869,-7.256710294946322,-0.3416617921270252
49,42,12,0.6113886113886113,0.0028739327907271153,-11.06752490249063,0.18402884285568827
50,42,15,0.6243756243756243,0.0027965681435440453,-11.097948651441845,0.23669292600958292
51,42,18,0.4565434565434565,0.005179630552579131,-0.7702015951490044,0.1949333875964437
52,42,21,0.42857142857142855,0.0031419454284825703,-9.245419764325217,0.056691774897253966
53,42,24,0.5034965034965035,0.002907055405469678,-5.290079246653697,0.21715292708174877
54,48,1,0.5894105894105894,0.0052396862699265415,-0.8860966998216437,0.08959268550937544
55,48,3,0.5464535464535465,0.004197964796338461,-2.0729930918292157,0.02833952952404075
56,48,6,0.5484515484515484,0.00418107228146956,-1.7559972554641052,0.08929968935524328
57,48,9,0.5234765234765235,0.003633769667859829,-2.433172443077571,0.17655993797389324
58,48,12,0.6133866133866134,0.0036672611762448323,-1.6148844621844036,0.25870118410237813
59,48,15,0.5694305694305695,0.0034519291889510218,-2.236827571316737,0.2804530905198014
60,48,18,0.5644355644355644,0.003002766762407251,-25.615531321709906,0.049000288240559284
61,48,21,0.5754245754245755,0.0031334327941868823,-52.44748286924851,-0.1574107876571344
62,48,24,0.3756243756243756,0.003243660204972357,-38.804304792567805,-0.15763267374252138
63,54,1,0.5964035964035964,0.004729407752865337,-0.7973259414381837,0.1518624984307282
64,54,3,0.5134865134865135,0.004744515901309852,-1.5592455702547503,0.011206256441336278
65,54,6,0.5834165834165834,0.0055868604568595805,-0.5959684776636087,0.1834824802266739
66,54,9,0.5634365634365635,0.0035913555634358362,-1.9392447643129382,0.3430901390038789
67,54,12,0.6203796203796204,0.00280461111447135,-2.535689815147683,0.32717166329723624
68,54,15,0.6353646353646354,0.0026663217511421985,-6.765955559431267,0.30969909122615097
69,54,18,0.5914085914085914,0.00500968348782955,-0.44930313993732707,0.3974502368555317
70,54,21,0.5824175824175825,0.004802498811086587,-0.4982160068821755,0.398053786539882
71,54,24,0.2787212787212787,0.0036264382668901403,-32.157666250215186,-0.4554190444633432
72,60,1,0.5534465534465535,0.005103407606317042,-0.7757086207435346,0.12359037616675128
73,60,3,0.48151848151848153,0.005735395415408533,-0.6866767236624234,0.09761290276246529
74,60,6,0.5824175824175825,0.0037621047634550666,-1.159356229853716,0.23796549419960628
75,60,9,0.4485514485514486,0.004280523114739247,-9.119744505388455,-0.3236970182753869
76,60,12,0.5644355644355644,0.007970487544043546,-0.6343577825128848,0.38267601441952787
77,60,15,0.5354645354645354,0.006404828406630057,-0.45387217577373695,0.3219925460971521
78,60,18,0.45854145854145856,0.0029971845701219795,-8.895272279839471,0.13173779090526427
79,60,21,0.4675324675324675,0.002922231393296878,-8.304391852268985,0.1777628592632221
80,60,24,0.6193806193806194,0.003090567343042538,-1.4461097080571883,0.43195180334507377
81,66,1,0.5664335664335665,0.006279559782413057,-0.6786541866823677,0.06218362203354699
82,66,3,0.4975024975024975,0.00536937787700454,-0.5794317412478891,0.16273049768972997
83,66,6,0.5734265734265734,0.004754485006158278,-0.507978901361892,0.29984803484803824
84,66,9,0.5464535464535465,0.00328662781008269,-1.5745141672404723,0.2744783426153612
85,66,12,0.6363636363636364,0.0029705058575359984,-0.9836602797512486,0.38255012826987683
86,66,15,0.5644355644355644,0.0041988795651941545,-1.1456747844714976,0.2939751755222151
87,66,18,0.3986013986013986,0.0029578673604592196,-21.737238440313835,0.12930180237724187
88,66,21,0.3646353646353646,0.003865954481365586,-10.574805056858658,-0.23507165343683264
89,66,24,0.4985014985014985,0.0028459327918112826,-11.201793000730968,0.21766733303290786
90,72,1,0.6013986013986014,0.006143857236569137,-0.6375790471208669,0.08585363702524058
91,72,3,0.5354645354645354,0.004647469492796231,-2.0816605617585986,-0.04613258340000878
92,72,6,0.5734265734265734,0.004621581392513057,-0.45828462826774485,0.29607607916294365
93,72,9,0.6273726273726273,0.004789555643862303,-0.6480350820279437,0.36783974110886397
94,72,12,0.5804195804195804,0.004466424424721887,-0.5166629386745152,0.38698353437566146
95,72,15,0.6133866133866134,0.004583649656452975,-0.27251043044830525,0.3825803477698335
96,72,18,0.5794205794205795,0.006138674585769188,-0.17966205426280224,0.367797106674304
97,72,21,0.5904095904095904,0.003096012978582078,-1.587237381449928,0.35563721182757446
98,72,24,0.36063936063936064,0.003858285449313502,-11.94223577065817,-0.20796368062951573
99,78,1,0.5854145854145855,0.006009436690319194,-0.6376691641891412,0.09449059313591748
100,78,3,0.5954045954045954,0.003836599203678183,-1.4059609479124222,0.16818958049799196
101,78,6,0.6103896103896104,0.004381961177733779,-0.4406982704226343,0.30753608563703
102,78,9,0.48451548451548454,0.0033518927092577246,-4.916726961796077,0.15990882771930165
103,78,12,0.6253746253746254,0.002997005370570067,-1.0265530726010237,0.3803154147038112
104,78,15,0.4855144855144855,0.003051395150043016,-3.4582729472046356,0.25751199266804226
105,78,18,0.45854145854145856,0.004341475598135568,-3.0440894280329838,-0.007269509881341142
106,78,21,0.5254745254745254,0.0030188527185268555,-1.3114017540366945,0.31882894847885396
107,78,24,0.2787212787212787,0.007237854854460585,-4.10560338333733,-0.47557248655492657
108,84,1,0.5794205794205795,0.006089207293101499,-0.7825778980678062,0.04292005456868513
109,84,3,0.5884115884115884,0.0038004184439481533,-1.3045223777408417,0.18287237864154288
110,84,6,0.6093906093906094,0.005262336230821071,-0.31670628836565884,0.30457911764704393
111,84,9,0.5174825174825175,0.0033844628365739854,-0.9266340665005879,0.2927533121377214
112,84,12,0.5384615384615384,0.007471488995986443,-0.15173807556756613,0.26304782421835016
113,84,15,0.46653346653346656,0.0029694199559275017,-3.129524489977425,0.23906987455200424
114,84,18,0.46553446553446554,0.0029549572596074365,-27.95071512247922,0.16204485405480207
115,84,21,0.45254745254745254,0.003022530873757184,-10.366308891290407,0.13447048861711114
116,84,24,0.6143856143856143,0.0026288726852997865,-3.9402920007680917,0.40282134055685503
117,90,1,0.5874125874125874,0.0058920601972131895,-0.8322626516259528,0.04618140853503155
118,90,3,0.5884115884115884,0.0038064111857935017,-1.2552484994582076,0.18699505464447774
119,90,6,0.6113886113886113,0.004394919882935469,-0.30070896161989236,0.3427653178247761
120,90,9,0.6083916083916084,0.003009892671759807,-1.1571246359265475,0.4414166780482973
121,90,12,0.5914085914085914,0.002579079216755208,-3.3189152730246585,0.36278914605554197
122,90,15,0.5354645354645354,0.0045309912216704995,-0.8339736828728475,0.27687019051789896
123,90,18,0.6633366633366633,0.003544932707347049,-0.5368663837061638,0.39535966442439907
124,90,21,0.35664335664335667,0.0029726457933704716,-90.08063355823586,0.06482547106099112
125,90,24,0.7282717282717283,0.002391434358493868,-5.273994849717235,0.459725169073375
126,96,1,0.5854145854145855,0.004805518867686271,-1.0994093382331567,0.08221831024736068
127,96,3,0.5644355644355644,0.004008357840999412,-1.3189070840468728,0.14889962020010244
128,96,6,0.5884115884115884,0.003923141645475039,-0.4783709405170078,0.3229378450304138
129,96,9,0.4755244755244755,0.003208681785821976,-11.572565540004073,0.004849646035527053
130,96,12,0.6163836163836164,0.004681696057944235,-0.18047513710278706,0.3542411463945982
131,96,15,0.6173826173826173,0.002400185437863583,-3.474228850898566,0.4815348991530613
132,96,18,0.46853146853146854,0.004522555327606103,-2.202998629410064,0.01842280987577654
133,96,21,0.6663336663336663,0.0032237549567654664,-1.0916561181502864,0.4368015090470616
134,96,24,0.4985014985014985,0.002971278479091446,-8.192253193923904,0.1764141434471077
135,102,1,0.5944055944055944,0.004865214223707963,-0.8821450056573867,0.12032394199311894
136,102,3,0.5014985014985015,0.004172780911145924,-1.7173323799652027,0.07770867647737441
137,102,6,0.6303696303696303,0.0035750099825462285,-0.6479949811325569,0.31585926021420585
138,102,9,0.6163836163836164,0.0028862683681064164,-1.1769138880536998,0.350058252405267
139,102,12,0.6643356643356644,0.0026416129012610625,-3.388863574521282,0.35311663887381484
140,102,15,0.4305694305694306,0.003713081786424233,-11.340791856970341,-0.04544507158999929
141,102,18,0.4695304695304695,0.0029266618756601105,-40.176009001466454,0.190377064806397
142,102,21,0.6243756243756243,0.0024728423927500467,-7.582775055638908,0.44458084809521997
143,102,24,0.3066933066933067,0.0064263041538732794,-5.281899041235493,-0.4471323640694944
144,108,1,0.5974025974025974,0.004379388835806315,-0.8514713827841649,0.17708076389485355
