,lookback,horizon,accuracy,mse,r_square,pcc
0,12,1,0.4785214785214785,0.0050079702458374654,-1.9512447508908775,-0.07516441278867761
1,12,3,0.4695304695304695,0.004862451753168611,-2.6938064748948216,-0.148519701025938
2,12,6,0.42957042957042957,0.004947615564592047,-4.212531158655419,-0.30086741813304896
3,12,9,0.4155844155844156,0.004394387038594988,-7.28084361675757,-0.358833063442623
4,12,12,0.3726273726273726,0.005189627904767069,-3.2356954441331194,-0.2655460214547376
5,12,15,0.3986013986013986,0.005063874719448445,-3.157388511426955,-0.22755854635058337
6,12,18,0.5334665334665335,0.004082623815445014,-3.8607236660362334,-0.052643878439685446
7,12,21,0.5194805194805194,0.0031539964029947704,-4.752531753898693,0.13892381186438119
8,12,24,0.4945054945054945,0.0034112274062241136,-6.778466692184118,0.00417783805905825
9,18,1,0.4965034965034965,0.004832925189051199,-2.3100660194599083,-0.0966378096354939
10,18,3,0.43656343656343655,0.005622878466987496,-3.346735503436655,-0.35208408853320694
11,18,6,0.43956043956043955,0.005227336751426068,-3.527635321549085,-0.27026633977714465
12,18,9,0.4435564435564436,0.005532755967829431,-3.6018830420421715,-0.2516674561380736
13,18,12,0.5794205794205795,0.004708248646526465,-4.953707823787931,-0.15254102823573412
14,18,15,0.5684315684315684,0.004467676833289128,-2.5258805242718645,0.07043027362801979
15,18,18,0.5574425574425574,0.0027941317709524083,-5.602155892193322,0.2571173071891739
16,18,21,0.6533466533466533,0.002430046599198139,-3.7666693155250597,0.42144370376061613
17,18,24,0.5864135864135864,0.0029647656829658816,-5.10666721710511,0.23706344201564386
18,24,1,0.4865134865134865,0.0058471484177729785,-2.147076275286301,-0.1920966693458902
19,24,3,0.45454545454545453,0.005223616165766664,-3.1982300685811325,-0.23186834734024514
20,24,6,0.5624375624375625,0.005221096513949982,-3.6121483136304935,-0.20171217406812442
21,24,9,0.46053946053946054,0.0046867007885060905,-2.7222498449757286,-0.11769605913585193
22,24,12,0.5474525474525475,0.0033001251680777784,-6.107515587108367,0.049949044301187344
23,24,15,0.5504495504495505,0.0033168001151676015,-2.819309523681147,0.1560847817334151
24,24,18,0.5744255744255744,0.0031440063044000247,-2.974856120683847,0.27700427692715857
25,24,21,0.6323676323676324,0.0025755549107199694,-2.2975213258817746,0.4870474842103577
26,24,24,0.5894105894105894,0.0028367072400152546,-12.787937043750475,0.23536906827942317
27,30,1,0.5274725274725275,0.00459447137024254,-2.9601388958853954,-0.08866541706910269
28,30,3,0.4745254745254745,0.00542281517934405,-2.120805657473972,-0.15817511860969563
29,30,6,0.4975024975024975,0.004692477631501289,-2.9764485601701742,-0.13630880817792962
30,30,9,0.4745254745254745,0.004113296326984591,-3.938756027495282,-0.10666794221799653
31,30,12,0.5214785214785215,0.0035843921871319168,-3.2362112378555903,0.07599347695787845
32,30,15,0.4975024975024975,0.0031372244080000162,-7.220090209283931,0.10755714624167553
33,30,18,0.6503496503496503,0.0027212591178384245,-3.0913076767818612,0.40146287067293124
34,30,21,0.6303696303696303,0.003275847717004431,-4.703602079102091,0.2469159506275012
35,30,24,0.4965034965034965,0.0034808681176765337,-7.490810016952127,-0.015761044048440427
36,36,1,0.5994005994005994,0.004828585321206977,-1.4369270267938692,0.06881874074337914
37,36,3,0.46153846153846156,0.005080274352557665,-2.2636268703766196,-0.1244628688718899
38,36,6,0.5774225774225774,0.00397857750814611,-2.695626252138737,0.08578537866247049
39,36,9,0.6183816183816184,0.0037117012091261873,-4.449895733357105,0.08292680280149906
40,36,12,0.6493506493506493,0.0031194260929925666,-4.878495372859801,0.17849796282324867
41,36,15,0.6153846153846154,0.0032400677966809735,-4.1385487309069475,0.15454170273887988
42,36,18,0.5714285714285714,0.0031023593443452223,-4.732804936893623,0.23044255012639733
43,36,21,0.6233766233766234,0.0031719902238339813,-4.384583081668993,0.17510738945191268
44,36,24,0.4925074925074925,0.003456335023763189,-4.911371998525254,0.029260629165602885
45,42,1,0.5844155844155844,0.00461699175535565,-1.4188519462512845,0.0982639250781257
46,42,3,0.48951048951048953,0.0046804412330355635,-1.7742977196523908,0.016091438731909085
47,42,6,0.5454545454545454,0.004407287538129466,-2.2822550625222773,0.016430956043341972
48,42,9,0.4645354645354645,0.00430307684200992,-2.8861751586380233,0.0013076478769267624
49,42,12,0.4905094905094905,0.0043681523024511094,-7.3560357975393345,-0.24169684326020485
50,42,15,0.4065934065934066,0.004325358610378003,-4.804632535577276,-0.21492004079453692
51,42,18,0.5784215784215784,0.0033281632967033375,-9.377224949831488,0.23237870153340306
52,42,21,0.4645354645354645,0.0032337126690659816,-4.055134189595489,0.13024463568229222
53,42,24,0.47652347652347654,0.003366772899078826,-9.696351363666322,-0.05456447445169608
54,48,1,0.6013986013986014,0.0035123273490112097,-2.172424137299345,0.1661131272026455
55,48,3,0.5204795204795205,0.004991459835432687,-1.715587273299779,-0.009903001928107034
56,48,6,0.5434565434565435,0.004467571492932728,-3.632385281984938,-0.06807342594864624
57,48,9,0.5764235764235764,0.0039974649316762275,-3.0702890166635024,0.05145109787217059
58,48,12,0.5864135864135864,0.0036376266533158647,-3.5630564056702525,0.11936862218909972
59,48,15,0.4865134865134865,0.005246377708478738,-5.042693301448893,-0.20530660319636015
60,48,18,0.4745254745254745,0.003394546967533445,-4.90605485029894,0.07780073876434818
61,48,21,0.5674325674325674,0.003645989646724028,-9.037898268440705,0.08239214601465289
62,48,24,0.4225774225774226,0.003767633737525325,-7.306369825359534,-0.15164839503507943
63,54,1,0.5904095904095904,0.003701377212039475,-2.6784431792480197,0.08061910792661539
64,54,3,0.4725274725274725,0.00543148289350805,-2.2894244064714817,-0.1779189407735649
65,54,6,0.5404595404595405,0.004532450687969521,-4.187567368005049,-0.11252145653982268
66,54,9,0.5234765234765235,0.005055928768903586,-4.4066151954647195,-0.10423917715673109
67,54,12,0.5084915084915085,0.0045073040606536125,-5.183236711309958,-0.11244080785122715
68,54,15,0.4995004995004995,0.0033189864856638966,-7.149249195934786,0.035949743152554
69,54,18,0.5554445554445554,0.003408574744830606,-13.812600007733431,-0.04713688770543409
70,54,21,0.5504495504495505,0.0031945888042123633,-8.680050755252648,0.04692787679338087
71,54,24,0.42157842157842157,0.004196939361757228,-6.178240663719566,-0.25294773994563613
72,60,1,0.6053946053946054,0.004227297823053018,-1.552759000687003,0.10154414577391593
73,60,3,0.4915084915084915,0.0048857797799393915,-2.887167043926139,-0.15080894252248128
74,60,6,0.4905094905094905,0.0040485262956920344,-4.523446704079652,-0.09104566734734292
75,60,9,0.43456543456543456,0.00515685838586929,-3.1406654201537796,-0.22311798408842726
76,60,12,0.5054945054945055,0.0037494830038369404,-6.96488676888689,-0.10335536412099278
77,60,15,0.37962037962037964,0.004004149523316385,-7.208888632857583,-0.23840214146539218
78,60,18,0.45754245754245754,0.0043624825090586615,-6.954070918046071,-0.25467381413746404
79,60,21,0.5224775224775224,0.003178673015235572,-12.776641168637209,0.0072920887207359696
80,60,24,0.4015984015984016,0.00487111841540299,-3.265626246158617,-0.2118583154532964
81,66,1,0.5664335664335665,0.004125350001527607,-1.5971465219799872,0.10660526405206439
82,66,3,0.4955044955044955,0.0044749612287981275,-3.215684837392364,-0.11973292639736312
83,66,6,0.5264735264735265,0.004287096706380828,-2.9404032765601418,-0.056755074842689976
84,66,9,0.5154845154845155,0.004567990440728728,-3.1393281326708076,-0.08703473057065761
85,66,12,0.4955044955044955,0.004841905587624794,-4.097562452785438,-0.20414845961690808
86,66,15,0.37162837162837165,0.0048704928934525694,-3.9070287399690473,-0.27351435418597747
87,66,18,0.4015984015984016,0.005369405085896813,-2.7643252265411506,-0.2407022761503173
88,66,21,0.4275724275724276,0.004193691287603096,-5.908626846487671,-0.22637549261495682
89,66,24,0.5244755244755245,0.003052718970761877,-8.07142803488329,0.1166607113114353
90,72,1,0.5484515484515484,0.003847479118303606,-2.3285886722562754,0.07009455840272798
91,72,3,0.5044955044955045,0.004449999168865233,-2.2592635367555176,-0.030598486378981566
92,72,6,0.4885114885114885,0.0042553886113241585,-4.448555225469174,-0.14844042855946937
93,72,9,0.4965034965034965,0.005337060101044408,-3.3736668964452114,-0.21931667439300906
94,72,12,0.43656343656343655,0.005907455072091766,-2.6820827764068276,-0.2882198416943427
95,72,15,0.3926073926073926,0.004626922181961172,-4.3423583615682215,-0.2534902329737806
96,72,18,0.4355644355644356,0.003850951920704519,-6.390015467766909,-0.15618817236611532
97,72,21,0.5754245754245755,0.004099790214390785,-3.2480832279048775,-0.027314374536561204
98,72,24,0.5924075924075924,0.0029843853384977966,-8.014473279698587,0.15405261777940032
99,78,1,0.4935064935064935,0.003863822257261808,-3.1505182619981964,0.010708281794111617
100,78,3,0.5124875124875125,0.004943750991258227,-2.493094252622332,-0.14334985471098222
101,78,6,0.44455544455544455,0.004530156313730866,-3.2883680666173962,-0.14978140568054735
102,78,9,0.4675324675324675,0.004257662532334889,-3.0474838072614903,-0.0740242654066703
103,78,12,0.5094905094905094,0.0034899704234887044,-10.693704946836446,-0.09456286319980302
104,78,15,0.4645354645354645,0.0059907445036486845,-2.7006634956761935,-0.2038854184410267
105,78,18,0.5294705294705294,0.0034678985151462326,-7.541524232014369,-0.04474667286087751
106,78,21,0.6483516483516484,0.0025960656583480443,-6.940655526402221,0.34364947420223074
107,78,24,0.5844155844155844,0.0030972386442494892,-14.979953448043698,0.03531288145491463
108,84,1,0.5114885114885115,0.004133449084583311,-1.8863244226833338,0.059225892368511245
109,84,3,0.45854145854145856,0.005099616163676202,-2.1173141789002607,-0.11863757057341032
110,84,6,0.5444555444555444,0.004286651608109576,-3.710480391770356,-0.08622300722141787
111,84,9,0.4775224775224775,0.00397546192368354,-5.332487297523477,-0.13099778699281106
112,84,12,0.5434565434565435,0.0036454109722859765,-4.418058033029534,-0.0025697754590834187
113,84,15,0.5674325674325674,0.003153412279381965,-4.685810006057368,0.13552188478918445
114,84,18,0.47152847152847155,0.0037114003501832068,-6.098743821669972,-0.09663973973098727
115,84,21,0.6223776223776224,0.0027024140371854194,-9.830078698648137,0.2874817067060038
116,84,24,0.4855144855144855,0.0037940371541018694,-6.00722743130796,-0.11938906540116373
117,90,1,0.5354645354645354,0.004173086347970778,-2.269478782302209,0.014643780294191886
118,90,3,0.47352647352647353,0.0045906883355589624,-2.485011615402564,-0.08387842869377692
119,90,6,0.5714285714285714,0.004263032084422993,-3.1435583371802167,-0.04762500312815245
120,90,9,0.4515484515484515,0.0048491328103598035,-3.5900112838206875,-0.22500228166883046
121,90,12,0.4965034965034965,0.0036498441664841105,-7.01333318887683,-0.10370747921295292
122,90,15,0.5304695304695305,0.003387375909506119,-12.130352531881638,-0.08657843483935866
123,90,18,0.5954045954045954,0.0028657903501434494,-12.12084263285632,0.22626064250526973
124,90,21,0.6003996003996004,0.0036704120855631044,-4.599120836386422,0.30132540006108377
125,90,24,0.6293706293706294,0.0026598830652340196,-10.042430093281402,0.3394759971785856
126,96,1,0.5264735264735265,0.004127690734564353,-1.9620397112651893,0.05377373211797146
127,96,3,0.5554445554445554,0.004139154676005083,-2.0435190488742845,0.041921357493867745
128,96,6,0.47652347652347654,0.004394948514977818,-3.1727166671183733,-0.10199204050815601
129,96,9,0.4755244755244755,0.0042077763364043695,-3.6991371250649703,-0.10764875184395059
130,96,12,0.5494505494505495,0.003484483182716672,-4.908719821780236,0.018897236457313317
131,96,15,0.46853146853146854,0.003992338826435085,-5.378050217721549,-0.15469903037920824
132,96,18,0.5764235764235764,0.002889258185386278,-10.994284702007791,0.21517208857006087
133,96,21,0.6883116883116883,0.002349963606081242,-5.570557020260859,0.4872344159270834
134,96,24,0.5794205794205795,0.002995643098767135,-6.56885788111881,0.2467839855662327
135,102,1,0.5184815184815185,0.004390505639626619,-1.663074649337167,0.046647812530106955
136,102,3,0.5214785214785215,0.005112497179092803,-1.8085087791729944,-0.06951623460237871
137,102,6,0.5384615384615384,0.003935497153954509,-5.208023758157279,-0.12344933042113176
138,102,9,0.5584415584415584,0.004091565132540312,-4.211072777531492,-0.08567771793691203
139,102,12,0.5634365634365635,0.0032501497266331316,-11.688765923826324,-0.02089410216659528
140,102,15,0.5204795204795205,0.0037912857931198564,-4.109157673694595,-0.024871554877940343
141,102,18,0.5104895104895105,0.003710591368714512,-5.2867014565348,-0.06728926052705411
142,102,21,0.6833166833166833,0.002391908212285334,-5.32449402763463,0.4586534856346506
143,102,24,0.5484515484515484,0.002912178408624056,-6.804877722292355,0.2052464235268417
144,108,1,0.5294705294705294,0.004529323303779199,-2.1594798421872823,-0.03712541875959917
145,108,3,0.5114885114885115,0.004466835315053269,-2.156676396774928,-0.0240070712058766
146,108,6,0.4825174825174825,0.004869365897404128,-2.784867380797916,-0.13822413583462043
147,108,9,0.4785214785214785,0.004399783152235612,-4.161854786398357,-0.15537870441230894
