seed,accuracy,mse,r_square,pcc
0,0.6843156843156843,0.003591496753629339,-0.6866891699559237,0.42320564734895505
1,0.5904095904095904,0.004395829049830041,-2.217793682956943,0.37050531423773125
2,0.5824175824175825,0.0030079623040523704,-6.149449574842287,0.37758022452350876
3,0.6743256743256744,0.0027941458391799547,-1.4796231259521173,0.4181849065270907
4,0.5714285714285714,0.002844573042284915,-15.94750661058421,0.19267825703179173
5,0.6183816183816184,0.0031948621429706654,-1.2689454092154695,0.4153435194795158
6,0.5734265734265734,0.0029066899623331724,-5.740666500479388,0.20781174096386973
7,0.5864135864135864,0.0033017449028540312,-1.319601517035058,0.39509258545980186
8,0.5754245754245755,0.0026611027673565466,-12.3805930489669,0.3887396015585503
9,0.5934065934065934,0.0027148173834823128,-24.458864481112144,0.2988232499516619
10,0.6573426573426573,0.002516200536720795,-2.802081777527382,0.3933623047627036
11,0.6333666333666333,0.0026643767369710723,-2.3335710779089167,0.4140910780379725
12,0.5724275724275725,0.0027640947918346408,-9.10519605038788,0.29552144580136863
13,0.45254745254745254,0.0033016005209019726,-20.100000883831957,-0.14873690426672737
14,0.5844155844155844,0.0034489217428719378,-1.7219842566513686,0.4060142581463837
15,0.6313686313686314,0.002566582472831044,-9.002813971583652,0.3685474554786211
16,0.6303696303696303,0.002695965454096091,-10.16456196671189,0.28976126932506335
17,0.6593406593406593,0.0025831226481036157,-1.1500919682339021,0.41696996590922575
18,0.6483516483516484,0.00252716763099977,-8.675709626718584,0.39135698266700636
19,0.6233766233766234,0.0026166338925236927,-2.60663618879223,0.3669357830442658
20,0.6643356643356644,0.002538933007449326,-2.60290323133409,0.45981737806393924
21,0.5834165834165834,0.0033519704282051685,-3.055721138429681,0.4576178945041849
22,0.6483516483516484,0.0029727567568393425,-1.5424188795794245,0.41965274502771954
23,0.5874125874125874,0.003151817270634845,-2.5163993448722524,0.36954082874869004
24,0.5844155844155844,0.003100390637059517,-8.07327350884467,0.14095501279864953
25,0.5934065934065934,0.003332367195726132,-2.251818793073617,0.41463110962057514
26,0.6043956043956044,0.0033298915331498604,-3.7245436580411644,0.42861109308223677
27,0.5474525474525475,0.0034328423711332376,-10.008772107942933,0.11199283893513912
28,0.6083916083916084,0.0029085176177782303,-2.0049243289504854,0.3556074273715495
29,0.5704295704295704,0.0027550326491720925,-24.619172773886817,0.2637652395500373
