seed,accuracy,mse,r_square,pcc
0,0.6223776223776224,0.0031413300174011824,-4.831845230179339,0.14082269578584508
1,0.3926073926073926,0.0036675821226567493,-14.086068753654727,-0.17640396384710108
2,0.31868131868131866,0.007480607179559603,-3.946004871729654,-0.36805460548188235
3,0.6893106893106893,0.0027107144713543843,-1.690715078668199,0.42462048512643175
4,0.6743256743256744,0.007893161866806461,0.008336645029472511,0.3617695341164132
5,0.6513486513486514,0.0033859278351614664,-0.8645450842271389,0.3946726551216524
6,0.5754245754245755,0.003669426827768407,-1.8229458061237795,0.33695639704511327
7,0.6283716283716284,0.003749573662309639,-0.44645115538321867,0.34318508219141014
8,0.47352647352647353,0.003580198133569322,-5.34119790962153,0.0010354117198736745
9,0.5194805194805194,0.002856117823301295,-7.874248560193299,0.21742050890299536
10,0.6803196803196803,0.0026887110405092425,-1.1293704499381998,0.39613494985103165
11,0.5964035964035964,0.004071720731136159,-1.1306351163170247,0.33205464973888904
12,0.6713286713286714,0.0025047000749672033,-2.2981286015313622,0.40205044947520224
13,0.4325674325674326,0.004727453611422103,-6.271601316913931,-0.3864786101670913
14,0.5544455544455544,0.0030646722858573027,-8.788846695447505,0.10505891638434674
15,0.3726273726273726,0.006495698521135434,-2.4157764600405525,-0.3397304040305173
16,0.6153846153846154,0.0030720486857774613,-1.9759337789034022,0.26355808402811837
17,0.5754245754245755,0.003950353097981643,-3.526761298191123,0.08699852192229188
18,0.5774225774225774,0.003107761328827547,-1.4741792678957752,0.28808186681677617
19,0.37162837162837165,0.006123399991208553,-3.5311074262653275,-0.2752320690293
20,0.37362637362637363,0.005511056891899756,-4.843157332848776,-0.4755167486115973
21,0.5464535464535465,0.004466643950077466,-1.2838050317679333,0.3225959557741622
22,0.5014985014985015,0.003694887207241091,-3.866378311884225,0.0731319500910062
23,0.43456543456543456,0.00413808087767067,-8.77460999359656,-0.3443222101568839
24,0.4985014985014985,0.0031547015635651375,-8.037852677028516,0.08207816524371234
25,0.5804195804195804,0.0034369404528405935,-2.3603829071750533,0.26040569102444966
26,0.44455544455544455,0.0045202336637356145,-5.25686830621125,-0.2879256934236397
27,0.6043956043956044,0.0039309372585110145,-0.7483006544155599,0.3134180002506607
28,0.5724275724275725,0.0031927239843033426,-2.8029498093767953,0.29829074781963094
29,0.4485514485514486,0.0036534407338016904,-9.823662716643266,-0.18597370897486995
