seed,accuracy,mse,r_square,pcc
0,0.5984015984015985,0.003256164349021318,-1.6210630722893655,0.38689793544205237
1,0.5914085914085914,0.0029762775179241114,-5.412243562997133,0.35434541213693216
2,0.5334665334665335,0.003158140257654003,-18.37286042916151,-0.02460652390625935
3,0.5634365634365635,0.003140852661645303,-3.0780526962128976,0.2588864602784452
4,0.5644355644355644,0.0039001185051644764,-14.400297354614821,0.0674536032963978
5,0.6753246753246753,0.0026495992860391306,-2.058307416161039,0.3636371525302196
6,0.6863136863136863,0.003533653971784126,-1.8001558240367075,0.30568234755564716
7,0.6143856143856143,0.0027899117581450953,-3.688196261082126,0.28621978692744654
8,0.5044955044955045,0.0031813489895803028,-7.395415124912564,0.10760564121786706
9,0.3726273726273726,0.0038780674845609836,-10.205931809449575,-0.2587694152713077
10,0.5724275724275725,0.0029431010373516765,-4.357311315011376,0.2160118641117278
11,0.6313686313686314,0.004099344537450583,-0.7490686455690099,0.40419595175132694
12,0.6823176823176823,0.0028741367083494934,-0.5930055463346422,0.4069196462897968
13,0.5924075924075924,0.003486897916311859,-3.53420136662462,0.3138277960244599
14,0.3106893106893107,0.0040109905672847355,-18.330214581405052,-0.45095592848525967
15,0.6403596403596403,0.0026875275834089794,-2.7502932403074274,0.4359058236709773
16,0.5414585414585414,0.0032049959551753507,-50.978827584888975,-0.22065963917602124
17,0.6423576423576424,0.002681994474424064,-1.7655199802833224,0.46528846906578925
18,0.6163836163836164,0.0030291062301104317,-13.21548390281711,0.1581996119067552
19,0.4805194805194805,0.0032209927522846727,-26.017728133308463,0.00863420169043175
20,0.5114885114885115,0.0030024191182680543,-15.374934086357584,0.12192512078322121
21,0.5874125874125874,0.0031288871972114563,-2.8988948921244013,0.4245124965215448
22,0.5844155844155844,0.0029381915961659254,-5.776514172001016,0.264681172123805
23,0.6253746253746254,0.002644048272526993,-4.76904149333061,0.33263984291615933
24,0.5724275724275725,0.0035778187165010403,-1.5041768814245717,0.3563909054002995
25,0.5874125874125874,0.0033054228029651303,-31.895038858558607,-0.0832937291111293
26,0.6793206793206793,0.00370413840797378,-0.335904342895897,0.3542459650388884
27,0.5844155844155844,0.003582983486432947,-1.2107424174572632,0.3410750195525637
28,0.5774225774225774,0.002933248006935774,-1.4510593838716939,0.39907618680982426
29,0.4775224775224775,0.005106777918672724,-4.282626252468457,-0.19818566640436933
30,0.5654345654345654,0.002976522285714093,-4.585889598194078,0.35812318692112416
31,0.6193806193806194,0.0026992166540037764,-3.3887792571196087,0.3753810908150226
32,0.5804195804195804,0.0029266464440859284,-4.307065569919348,0.40325195121710267
33,0.6463536463536463,0.0026938928189285376,-3.7634303110104748,0.40009146243132776
34,0.6043956043956044,0.002869438570326563,-2.3365499269202727,0.3148048730755221
35,0.6123876123876124,0.0032221869581463393,-2.958026774567009,0.2487139492814861
